match_id,team1_id,team2_id,winner,loser,drawn,tied,date,type_of_match
62387,2,3,2,3,,,1912-05-27,Test
62388,1,3,1,3,,,1912-06-10,Test
62389,1,2,0,,1,,1912-06-24,Test
62390,1,3,1,3,,,1912-07-08,Test
62391,2,3,2,3,,,1912-07-15,Test
62392,1,2,0,,1,,1912-07-29,Test
62393,2,3,0,,1,,1912-08-05,Test
62394,1,3,1,3,,,1912-08-12,Test
62395,1,2,1,2,,,1912-08-19,Test
62400,2,1,0,,1,,1881-12-31,Test
62401,2,1,2,1,,,1882-02-17,Test
62402,2,1,2,1,,,1882-03-03,Test
62403,2,1,0,,1,,1882-03-10,Test
62404,1,2,2,1,,,1882-08-28,Test
62405,2,1,2,1,,,1882-12-30,Test
62406,2,1,1,2,,,1883-01-19,Test
62407,2,1,1,2,,,1883-01-26,Test
62408,2,1,2,1,,,1883-02-17,Test
62409,1,2,0,,1,,1884-07-10,Test
62410,1,2,1,2,,,1884-07-21,Test
62411,1,2,0,,1,,1884-08-11,Test
62412,2,1,1,2,,,1884-12-12,Test
62413,2,1,1,2,,,1885-01-01,Test
62414,2,1,2,1,,,1885-02-20,Test
62415,2,1,2,1,,,1885-03-14,Test
62416,2,1,1,2,,,1885-03-21,Test
62417,1,2,1,2,,,1886-07-05,Test
62418,1,2,1,2,,,1886-07-19,Test
62419,1,2,1,2,,,1886-08-12,Test
62420,2,1,1,2,,,1887-01-28,Test
62421,2,1,1,2,,,1887-02-25,Test
62422,2,1,1,2,,,1888-02-10,Test
62423,1,2,2,1,,,1888-07-16,Test
62424,1,2,1,2,,,1888-08-13,Test
62425,1,2,1,2,,,1888-08-30,Test
62426,3,1,1,3,,,1889-03-12,Test
62427,3,1,1,3,,,1889-03-25,Test
62428,1,2,1,2,,,1890-07-21,Test
62429,1,2,1,2,,,1890-08-11,Test
62430,2,1,2,1,,,1892-01-01,Test
62431,2,1,2,1,,,1892-01-29,Test
62432,2,1,1,2,,,1892-03-24,Test
62433,3,1,1,3,,,1892-03-19,Test
62434,1,2,0,,1,,1893-07-17,Test
