m_ratings,teams,date
1052,England,1972-08-28
1004,New Zealand,1972-08-28
1000,WSC West Indies,1972-08-28
1000,WSC Australia,1972-08-28
1000,Canada,1972-08-28
1000,Zimbabwe,1972-08-28
1000,Bangladesh,1972-08-28
1000,South Africa,1972-08-28
1000,United Arab Emirates,1972-08-28
1000,Netherlands,1972-08-28
1000,Kenya,1972-08-28
1000,Scotland,1972-08-28
1000,Bangladeshis,1972-08-28
1000,Namibia,1972-08-28
1000,Hong Kong,1972-08-28
1000,United States of America,1972-08-28
1000,ICC World XI,1972-08-28
1000,Asia XI,1972-08-28
1000,England A,1972-08-28
1000,Africa XI,1972-08-28
1000,Bermuda,1972-08-28
1000,Ireland,1972-08-28
1000,Bangladesh Women,1972-08-28
1000,Hong Kong Women,1972-08-28
1000,India Women,1972-08-28
1000,Australia Under-21s Women,1972-08-28
1000,Australia Women,1972-08-28
1000,Afghanistan,1972-08-28
1000,South Africa Women,1972-08-28
1000,England Academy Women,1972-08-28
1000,Papua New Guinea,1972-08-28
1000,Nepal,1972-08-28
1000,Oman,1972-08-28
999,India,1972-08-28
999,Sri Lanka,1972-08-28
999,East Africa,1972-08-28
998,West Indies,1972-08-28
996,Pakistan,1972-08-28
952,Australia,1972-08-28
1057,England,1972-09-28
1014,New Zealand,1972-09-28
1001,WSC West Indies,1972-09-28
1001,Zimbabwe,1972-09-28
1000,Bangladesh,1972-09-28
1000,South Africa,1972-09-28
1000,United Arab Emirates,1972-09-28
1000,Netherlands,1972-09-28
1000,Kenya,1972-09-28
1000,Scotland,1972-09-28
1000,Bangladeshis,1972-09-28
1000,Namibia,1972-09-28
1000,Hong Kong,1972-09-28
1000,United States of America,1972-09-28
1000,ICC World XI,1972-09-28
1000,Asia XI,1972-09-28
1000,England A,1972-09-28
1000,Africa XI,1972-09-28
1000,Bermuda,1972-09-28
1000,Ireland,1972-09-28
1000,Bangladesh Women,1972-09-28
1000,Hong Kong Women,1972-09-28
1000,Australia Under-21s Women,1972-09-28
1000,Afghanistan,1972-09-28
1000,South Africa Women,1972-09-28
1000,England Academy Women,1972-09-28
1000,Papua New Guinea,1972-09-28
1000,Nepal,1972-09-28
1000,Oman,1972-09-28
999,WSC Australia,1972-09-28
999,Canada,1972-09-28
998,Sri Lanka,1972-09-28
997,India,1972-09-28
997,East Africa,1972-09-28
994,West Indies,1972-09-28
986,Pakistan,1972-09-28
955,Australia,1972-09-28
NA,India Women,1972-09-28
NA,Australia Women,1972-09-28
1062,England,1972-10-28
1023,New Zealand,1972-10-28
1002,WSC West Indies,1972-10-28
1001,Zimbabwe,1972-10-28
1000,Bangladesh,1972-10-28
1000,South Africa,1972-10-28
1000,United Arab Emirates,1972-10-28
1000,Netherlands,1972-10-28
1000,Kenya,1972-10-28
1000,Scotland,1972-10-28
1000,Bangladeshis,1972-10-28
1000,Namibia,1972-10-28
1000,United States of America,1972-10-28
1000,ICC World XI,1972-10-28
1000,Asia XI,1972-10-28
1000,England A,1972-10-28
1000,Africa XI,1972-10-28
1000,Bermuda,1972-10-28
1000,Ireland,1972-10-28
1000,Bangladesh Women,1972-10-28
1000,Hong Kong Women,1972-10-28
1000,Australia Under-21s Women,1972-10-28
1000,Afghanistan,1972-10-28
1000,South Africa Women,1972-10-28
1000,England Academy Women,1972-10-28
1000,Papua New Guinea,1972-10-28
1000,Nepal,1972-10-28
1000,Oman,1972-10-28
999,Hong Kong,1972-10-28
998,WSC Australia,1972-10-28
998,Canada,1972-10-28
996,Sri Lanka,1972-10-28
995,India,1972-10-28
995,East Africa,1972-10-28
991,West Indies,1972-10-28
977,Pakistan,1972-10-28
959,Australia,1972-10-28
NA,India Women,1972-10-28
NA,Australia Women,1972-10-28
1066,England,1972-11-28
1032,New Zealand,1972-11-28
1002,WSC West Indies,1972-11-28
1001,Zimbabwe,1972-11-28
1000,Bangladesh,1972-11-28
1000,United Arab Emirates,1972-11-28
1000,Kenya,1972-11-28
1000,Scotland,1972-11-28
1000,Bangladeshis,1972-11-28
1000,Namibia,1972-11-28
1000,United States of America,1972-11-28
1000,ICC World XI,1972-11-28
1000,Asia XI,1972-11-28
1000,England A,1972-11-28
1000,Africa XI,1972-11-28
1000,Bermuda,1972-11-28
1000,Ireland,1972-11-28
1000,Bangladesh Women,1972-11-28
1000,Hong Kong Women,1972-11-28
1000,Australia Under-21s Women,1972-11-28
1000,Afghanistan,1972-11-28
1000,South Africa Women,1972-11-28
1000,England Academy Women,1972-11-28
1000,Papua New Guinea,1972-11-28
999,South Africa,1972-11-28
999,Netherlands,1972-11-28
999,Hong Kong,1972-11-28
999,Nepal,1972-11-28
999,Oman,1972-11-28
998,WSC Australia,1972-11-28
997,Canada,1972-11-28
995,Sri Lanka,1972-11-28
993,India,1972-11-28
993,East Africa,1972-11-28
987,West Indies,1972-11-28
968,Pakistan,1972-11-28
962,Australia,1972-11-28
NA,India Women,1972-11-28
NA,Australia Women,1972-11-28
1071,England,1972-12-28
1041,New Zealand,1972-12-28
1003,WSC West Indies,1972-12-28
1002,Zimbabwe,1972-12-28
1001,Bangladeshis,1972-12-28
1001,ICC World XI,1972-12-28
1001,Bangladesh Women,1972-12-28
